Punto;Hora;Lat;Lon;turbidity;chla;ciano
6;18:55;-31°22.5337’;-64°26.8260’;61.0;339.3;329.2
6;18:54;-31°22.5337’;-64°26.8248’;66.8;429.0;412.8
6;18:52;-31°22.5342’;-64°26.8230’;22.2;237.9;237.9
6;18:49;-31°22.5324’;-64°26.8246’;172.0;93.5;92.7
6;18:49;-31°22.5324’;-64°26.8224’;16.0;87.6;85.8
6;18:47;-31°22.5326’;-64°26.8254’;16.4;93.9;92.9
6;18:45;-31°22.5327’;-64°26.8239;32.3;175.9;157.6
6;18:44;-31°22.5327’;-64°26.8230’;28.3;148.2;144.0
6;18:43;-31°22.5335;-64°26.8236;30.2;191.9;186.7
6;18:42;-31°22.5294’;-64°26.8224’;42.7;257.2;248.2
5;18:34;-31°22.4304’;-64°26.3766’;13.5;36.7;32.0
5;18:31;-31°22.4346’;-64°26.3640’;16.4;49.2;44.1
5;18:30;-31°22.4326’;-64°26.3623’;25.2;74.0;69.9
5;18:28;-31°22.4385’;-64°26.3668’;21.0;88.1;81.1
5;18:27;-31°22.4409’;-64°26.3643’;26.1;128.7;123.2
5;18:25;-31°22.4406’;-64°26.3776’;20.0;44.4;40.0
5;18:23;-31°22.4388;-64°26.3822’;19.5;82.7;79.1
4;18:08;-31°22.4266’;-64°27.2301’;5.2;14.4;12.1
4;18:06;-31°22.4241’;-64°27.2284’;7.7;21.0;17.3
4;18:05;-31°22.4179’;-64°27.2278’;5.6;14.5;12.8
4;18:03;-31°22.4089’;-64°27.2292’;8.7;17.3;14.5
4;18:01;-31.22.3998’;-64°27.2325’;7.4;18.7;15.1
3;17:48;-31°21.5412’;-64°28.3476’;11.5;48.1;4.7
3;17:45;-31°21.5715’;-64°28.3539’;8.8;24.6;2.0
3;17:43;-31°21.5715’;-64°28.3539’;11.0;34.9;3.4
3;17:39;-31°21.5322’;-64°28.3341’;9.0;32.0;2.4
3;17:37;-31°21.5070’;-64°28.3189’;10.9;48.9;2.6
3;17:34;-31°21.4704’;-64°28.3020’;13.6;31.7;1.9
3;17:26;-31°21.5197’;-64°28.2978’;14.0;29.2;2.7
2;16:47;-31°22.5702’;-64°28.1653’;4.1;23.1;5.6
2;16:54;-31°22.5709’;-64°28.1634’;4.4;23.0;5.4
2;16:51;-31°22.5706’;-64°28.1625’;4.5;14.1;5.6
2;16:50;-31°22.5697’;-64°28.1631’;4.2;23.3;6.7
2;16:48;-31°22.5681’;-64°28.1623’;4.4;16.1;6.4
2;16:47;-31°22.5681’;-64°28.1631’;4.7;0.8;0.8
2;16:45;-31°22.5680’;-64°28.1637’;3.6;17.2;5.3
2;16:39;-31°22.7244’;-64°28.2685’;5.0;26.5;4.8
2;16:36;-31°22.6960’;-64°28.2483’;3.5;12.0;3.1
2;16:34;-31°22.6743’;-64°28.2330’;3.9;16.6;4.6
2;16:32;-31°22.6509’;-64°28.2186’;4.0;12.0;7.9
2;16:30;-31°22.6321’;-64°28.2118’;3.4;7.9;5.3
1;16:00;-31°23.6394’;-64°29.1522’;6.6;11.1;1.9
1;16:00;-31°23.6355’;-64°29.1522’;5.8;8.0;1.6
1;15:55;-31°23.6403’;-64°29.1519’;6.9;10.8;2.1
1;15:54;-31°23.6403’;-64°29.1513’;7.2;11.2;1.9
1;15:51;-31°23.6397’;-64°29.1519’;7.4;11.9;2.0
1;15:49;-31°23.6397’;-64°29.1313’;6.8;10.9;1.8
1;15:47;-31°23.6407’;-64°29.1514’;5.9;8.0;1.2